state_cd,state_name,county_cd,county_nm,year,pop,pop_use_gw,Total_gw,c12,c30,c48,c63,c79,c95,c112,c129,c146,c163,c180,c191,c197,c209,c221,c233,c250,c260
1,Alabama,1,Autauga County,1985,34300.0,26860.0,63149.02,,,,2.02,,,0.0,,,,0.0,,,,,,,
1,Alabama,1,Autauga County,1990,34220.0,33100.0,69313.3,,,,1.3,,,0.0,,,,0.0,,,,,,,
1,Alabama,1,Autauga County,1995,39380.0,36100.0,77484.59,4.96,0.25,0.0,1.84,0.0,0.0,0.0,0.0,,,0.0,,0.19,0.0,,0.35,,
1,Alabama,1,Autauga County,2000,43671.00000000001,39300.0,84974.91000000002,,,,1.69,0.0,,,,0.0,0.0,0.14,0.08,,,0.0,,,
1,Alabama,1,Autauga County,2005,48611.99999999999,,50629.02,3.18,,,1.66,0.0,,,,0.0,0.0,0.29,0.09,,,,2.4,2.4,0.0
1,Alabama,1,Autauga County,2010,54571.00000000001,,56603.89,5.09,,,9.89,0.0,,,,0.0,0.0,0.09,0.06,,,,2.88,2.88,0.0
1,Alabama,1,Autauga County,2015,55347.0,,57377.670000000006,3.64,,,1.83,0.0,,,,0.0,0.0,1.4,0.08,,,,3.36,3.36,0.0
1,Alabama,3,Baldwin County,1985,88900.0,80080.0,170969.15,,,,0.09,,,0.0,,,,0.06,,,,,,,
1,Alabama,3,Baldwin County,1990,98280.0,90690.0,190964.34000000003,,,,0.1,,,0.0,,,,0.24,,,,,,,
1,Alabama,3,Baldwin County,1995,120200.0,66250.0,188486.25,12.03,4.05,0.0,0.01,0.0,0.0,0.0,0.0,,,0.24,,0.37,0.07,,20.48,,
1,Alabama,3,Baldwin County,2000,140415.0,107609.0,250029.45,,,,0.79,0.0,,,,0.0,0.0,0.44,0.22,,,0.0,,,
1,Alabama,3,Baldwin County,2005,162586.0,,164690.96,21.59,,,0.0,0.0,,,,0.0,0.0,0.63,0.2,,,,36.77,36.77,0.0
1,Alabama,3,Baldwin County,2010,182265.0,,184366.93999999997,22.97,,,0.0,0.0,,,,0.0,0.0,0.21,0.16,,,,32.3,32.3,0.0
1,Alabama,3,Baldwin County,2015,203709.0,,205846.36000000004,23.67,,,0.0,0.0,,,,0.0,0.0,0.22,0.13,,,,47.17,47.17,0.0
1,Alabama,5,Barbour County,1985,25500.0,25390.0,52881.009999999995,,,,0.01,,,0.0,,,,0.0,,,,,,,
1,Alabama,5,Barbour County,1990,25420.0,25160.0,52576.009999999995,,,,0.01,,,0.0,,,,0.0,,,,,,,
1,Alabama,5,Barbour County,1995,26470.0,25320.0,53797.66,4.52,0.09,0.0,0.94,0.0,0.0,0.0,0.0,,,0.0,,0.18,0.21,,0.72,,
1,Alabama,5,Barbour County,2000,29038.0,22266.0,53311.619999999995,,,,0.94,0.0,,,,0.0,0.0,0.41,0.27,,,0.0,,,
1,Alabama,5,Barbour County,2005,28414.0,,30433.090000000004,4.15,,,1.18,0.0,,,,0.0,0.0,0.82,0.14,,,,0.9,0.9,0.0
1,Alabama,5,Barbour County,2010,27456.999999999996,,29479.929999999997,4.15,,,1.58,0.0,,,,0.0,0.0,0.13,0.15,,,,0.46,0.46,0.0
1,Alabama,5,Barbour County,2015,26489.0,,28516.329999999998,3.23,,,1.5,0.0,,,,0.0,0.0,0.3,0.16,,,,0.57,0.57,0.0
1,Alabama,7,Bibb County,1985,16800.0,15150.0,33943.02,,,,0.01,,,0.0,,,,0.01,,,,,,,
1,Alabama,7,Bibb County,1990,16580.0,16410.0,34988.02,,,,0.01,,,0.0,,,,0.01,,,,,,,
1,Alabama,7,Bibb County,1995,17940.0,13240.0,33185.5,2.05,0.35,0.02,0.0,0.0,0.0,0.0,0.0,,,0.01,,0.07,0.0,,0.0,,
1,Alabama,7,Bibb County,2000,20826.0,17926.0,40760.13,,,,0.0,0.0,,,,0.0,0.0,0.09,0.04,,,0.0,,,
1,Alabama,7,Bibb County,2005,21516.0,,23533.42,4.16,,,0.0,0.0,,,,0.0,0.0,0.17,0.03,,,,0.03,0.03,0.0
1,Alabama,7,Bibb County,2010,22915.0,,24939.54,4.89,,,0.0,0.0,,,,0.0,0.0,0.36,0.03,,,,0.63,0.63,0.0
1,Alabama,7,Bibb County,2015,22583.000000000004,,24611.54,5.18,,,0.0,0.0,,,,0.0,0.0,0.27,0.03,,,,0.03,0.03,0.0
1,Alabama,9,Blount County,1985,37000.0,12120.0,51115.87,,,,0.83,,,0.0,,,,0.04,,,,,,,
1,Alabama,9,Blount County,1990,39250.0,15640.0,56890.93,,,,0.92,,,0.0,,,,0.01,,,,,,,
1,Alabama,9,Blount County,1995,42720.0,28660.0,73388.62999999999,2.38,0.81,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,,0.43,0.0,,0.0,,
1,Alabama,9,Blount County,2000,51023.99999999999,36700.0,89734.66999999998,,,,0.0,0.0,,,,0.0,0.0,0.14,0.53,,,0.0,,,
1,Alabama,9,Blount County,2005,55725.0,,57744.07000000001,2.74,,,0.0,0.0,,,,0.0,0.0,0.27,0.46,,,,0.3,0.3,0.0
1,Alabama,9,Blount County,2010,57321.99999999999,,59345.27,2.44,,,0.0,0.0,,,,0.0,0.0,0.12,0.47,,,,0.12,0.12,0.0
1,Alabama,9,Blount County,2015,57673.0,,59701.979999999996,2.78,,,0.0,0.0,,,,0.0,0.0,0.37,0.43,,,,0.2,0.2,0.0
1,Alabama,11,Bullock County,1985,10700.0,10500.0,23197.0,,,,0.0,,,0.0,,,,0.0,,,,,,,
1,Alabama,11,Bullock County,1990,11040.0,10820.0,23862.0,,,,0.0,,,0.0,,,,0.0,,,,,,,
1,Alabama,11,Bullock County,1995,11150.0,10880.0,24038.940000000002,1.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.13,0.0,,0.0,,
1,Alabama,11,Bullock County,2000,11714.0,10543.0,24269.11,,,,0.0,0.0,,,,0.0,0.0,0.03,0.08,,,0.0,,,
1,Alabama,11,Bullock County,2005,11055.0,,13077.2,2.04,,,0.0,0.0,,,,0.0,0.0,0.04,0.06,,,,1.53,1.53,0.0
1,Alabama,11,Bullock County,2010,10914.000000000002,,12938.970000000003,2.3,,,0.0,0.0,,,,0.0,0.0,0.04,0.05,,,,0.29,0.29,0.0
1,Alabama,11,Bullock County,2015,10696.0,,12727.01,2.11,,,0.0,0.0,,,,0.0,0.0,0.0,0.06,,,,0.92,0.92,0.0
1,Alabama,13,Butler County,1985,22200.0,17460.0,41659.0,,,,0.0,,,0.0,,,,0.0,,,,,,,
1,Alabama,13,Butler County,1990,21890.0,19980.0,43874.0,,,,0.0,,,0.0,,,,0.0,,,,,,,
1,Alabama,13,Butler County,1995,21800.0,18590.0,42401.8,2.2,0.24,0.0,0.21,0.0,0.0,0.0,0.0,,,0.0,,0.15,0.0,,0.0,,
1,Alabama,13,Butler County,2000,21399.0,19174.0,42587.38,,,,0.25,0.0,,,,0.0,0.0,0.0,0.13,,,0.0,,,
1,Alabama,13,Butler County,2005,20766.0,,22788.530000000002,3.0,,,0.31,0.0,,,,0.0,0.0,0.0,0.14,,,,0.04,0.04,0.0
1,Alabama,13,Butler County,2010,20947.0,,22974.2,2.7,,,0.3,0.0,,,,0.0,0.0,0.0,0.16,,,,0.02,0.02,0.0
1,Alabama,13,Butler County,2015,20154.0,,22185.629999999997,2.28,,,0.2,0.0,,,,0.0,0.0,0.0,0.13,,,,0.01,0.01,0.0
1,Alabama,15,Calhoun County,1985,124600.0,116660.0,243261.78999999998,,,,0.79,,,0.0,,,,0.0,,,,,,,
